Codigo,Municipio,Branca,Preta,Amarela,Parda,Indígena,Total,RI,Ano
150660,Santa Maria do Pará (PA),4867,1455,59,17848,395,24624,Guamá,2022
150670,Santana do Araguaia (PA),6971,4312,84,20900,145,32413,Araguaia,2022
150680,Santarém (PA),56124,23988,389,240817,10602,331942,Baixo Amazonas,2022
150690,Santarém Novo (PA),866,383,9,4854,4,6116,Rio Caeté,2022
150700,Santo Antônio do Tauá (PA),5109,1935,50,20328,39,27461,Guamá,2022
150710,São Caetano de Odivelas (PA),2879,950,12,12819,6,16666,Guamá,2022
150715,São Domingos do Araguaia (PA),3910,2204,31,14889,57,21092,Carajás,2022
150720,São Domingos do Capim (PA),3564,3116,15,23897,7,30599,Guamá,2022
150730,São Félix do Xingu (PA),12033,6152,72,44722,2439,65418,Araguaia,2022
150740,São Francisco do Pará (PA),2535,819,21,11495,24,14894,Guamá,2022
150745,São Geraldo do Araguaia (PA),4524,3002,24,16241,463,24255,Carajás,2022
150746,São João da Ponta (PA),429,125,2,3873,1,4430,Guamá,2022
150747,São João de Pirabas (PA),3527,989,9,16160,4,20689,Rio Caeté,2022
150750,São João do Araguaia (PA),2014,1851,13,9761,25,13664,Carajás,2022
150760,São Miguel do Guamá (PA),5750,5638,45,41427,33,52894,Guamá,2022
150770,São Sebastião da Boa Vista (PA),5030,1568,30,18992,23,25643,Marajó,2022
150775,Sapucaia (PA),1099,437,8,4298,5,5847,Araguaia,2022
150780,Senador José Porfírio (PA),3289,2664,39,15763,821,22576,Xingu,2022
150790,Soure (PA),2750,4458,12,16958,26,24204,Marajó,2022
150795,Tailândia (PA),13465,8663,155,50123,85,72493,Tocantins,2022
150796,Terra Alta (PA),1797,665,19,7917,2,10400,Guamá,2022
150797,Terra Santa (PA),2975,637,6,15137,26,18782,Baixo Amazonas,2022
150800,Tomé-Açu (PA),10838,7803,502,47913,529,67585,Rio Capim,2022
150803,Tracuateua (PA),2569,1006,8,24993,19,28595,Rio Caeté,2022
150805,Trairão (PA),3098,1250,7,10543,344,15242,Tapajós,2022
150808,Tucumã (PA),10783,3276,62,25388,39,39550,Araguaia,2022
150810,Tucuruí (PA),20702,10284,88,59425,805,91306,Lago Tucuruí,2022
150812,Ulianópolis (PA),8860,3435,49,25592,35,37972,Rio Capim,2022
150815,Uruará (PA),9503,4409,11,29535,100,43558,Xingu,2022
150820,Vigia (PA),10924,3632,24,36224,25,50832,Guamá,2022
150830,Viseu (PA),6782,3385,24,48435,66,58692,Rio Caeté,2022
150835,Vitória do Xingu (PA),2730,1666,24,10667,517,15607,Xingu,2022
150840,Xinguara (PA),12369,4933,69,35466,56,52893,Araguaia,2022
